,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Super built-up  Area,19-Dec,1.0,2.0,12.8468545,Electronic City Phase II,77.6769267,39.07,2 BHK,Coomee ,1056,5.0,Indian Restaurant,Coworking Space,Vegetarian / Vegan Restaurant,Basketball Court,Diner,Café,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant
3,Super built-up  Area,Ready To Move,1.0,2.0,25.7098784,Whitefield,32.6585124,38.0,2 BHK,DuenaTa,1170,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
4,Plot  Area,Ready To Move,3.0,5.0,12.9116225,Whitefield,77.63886219999998,295.0,4 Bedroom,Prrry M,2785,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
5,Super built-up  Area,Ready To Move,1.0,2.0,51.4619523,7th Phase JP Nagar,-0.15961689999999998,38.0,2 BHK,Shncyes,1000,3.0,Pub,Pizza Place,Café,Cocktail Bar,Indian Restaurant,French Restaurant,Bus Stop,Bar,Coffee Shop,Thai Restaurant
6,Plot  Area,Ready To Move,2.0,3.0,12.9778951,Sarjapur,77.5164792,148.0,3 Bedroom,Skityer,2250,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
7,Super built-up  Area,Ready To Move,2.0,2.0,12.9176571,Mysore Road,77.4837568,73.5,2 BHK,PrntaEn,1175,3.0,Ice Cream Shop,Pizza Place,Dry Cleaner,Train Station,Café,ATM,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant
8,Super built-up  Area,Ready To Move,2.0,3.0,13.054713,Bisuvanahalli,77.63392579999999,48.0,3 BHK,Prityel,1180,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
9,Super built-up  Area,Ready To Move,3.0,3.0,12.93643855,Raja Rajeshwari Nagar,77.66698398914123,60.0,3 BHK,GrrvaGr,1540,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
10,Super built-up  Area,Ready To Move,2.0,4.0,13.054713,Ramakrishnappa Layout,77.63392579999999,290.0,3 BHK,PeBayle,2770,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
12,Plot  Area,Ready To Move,2.0,5.0,13.100698199999998,Thanisandra,77.5963454,380.0,4 Bedroom,Soitya ,2800,4.0,South Indian Restaurant,Vegetarian / Vegan Restaurant,Train Station,Indian Restaurant,Restaurant,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market
