,area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,12.8468545,77.6769267,3.0,Coworking Space,Indian Restaurant,Vegetarian / Vegan Restaurant,Basketball Court,Diner,Café,Dumpling Restaurant,Fish Market,Fast Food Restaurant,Farmers Market
1,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,25.709878399999997,32.6585124,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
2,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,12.9116225,77.63886219999999,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
3,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,51.4619523,-0.15961689999999998,3.0,Pub,Pizza Place,Cocktail Bar,Indian Restaurant,Café,French Restaurant,Thai Restaurant,Coffee Shop,Beer Bar,Playground
4,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,12.9778951,77.5164792,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Pool Hall,Badminton Court,Eastern European Restaurant,Flea Market,Fish Market,Farmers Market,Falafel Restaurant
5,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,12.9176571,77.4837568,3.0,Pharmacy,Train Station,Pizza Place,Café,Ice Cream Shop,Andhra Restaurant,American Restaurant,Flea Market,Fish Market,Fast Food Restaurant
6,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,13.054713000000001,77.63392579999999,3.0,Hotel,Pharmacy,Indian Restaurant,Pizza Place,Seafood Restaurant,Department Store,Food Truck,Fast Food Restaurant,Restaurant,Wings Joint
7,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,12.93643855,77.66698398914123,0.0,Indian Restaurant,Food,Breakfast Spot,Brewery,Eastern European Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
8,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,13.054713000000001,77.63392579999999,3.0,Pharmacy,Shopping Mall,Indian Restaurant,Department Store,Palace,Hotel,Chinese Restaurant,Historic Site,Art Museum,Andhra Restaurant
9,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,13.100698199999998,77.5963454,0.0,South Indian Restaurant,Indian Restaurant,Train Station,Restaurant,Wings Joint,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
10,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,13.0044979,77.66032309999999,3.0,Chinese Restaurant,Café,Convenience Store,Bakery,Indian Restaurant,Liquor Store,Department Store,Pizza Place,Ice Cream Shop,Australian Restaurant
11,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,12.8496783,77.6649749,0.0,Indian Restaurant,Food Court,Café,Fast Food Restaurant,Coffee Shop,Restaurant,Bus Station,Pizza Place,Sandwich Place,Food
12,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,12.9121916,77.5476337,0.0,Indian Restaurant,Pizza Place,Department Store,Gym,Lake,Bakery,Wings Joint,Eastern European Restaurant,Fish Market,Fast Food Restaurant
13,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,12.9589475,77.65559301497998,0.0,Indian Restaurant,Food Court,Café,Fast Food Restaurant,Coffee Shop,Restaurant,Bus Station,Pizza Place,Sandwich Place,Food
14,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,19.2068473,72.8671534,3.0,Hotel,Pharmacy,Indian Restaurant,Pizza Place,Seafood Restaurant,Department Store,Food Truck,Fast Food Restaurant,Restaurant,Wings Joint
15,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,12.9116225,77.63886219999999,3.0,Indian Restaurant,Café,Ice Cream Shop,Snack Place,Movie Theater,Chinese Restaurant,North Indian Restaurant,Breakfast Spot,Punjabi Restaurant,Pub
16,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,12.8529125,77.6556155,0.0,Indian Restaurant,Food,Breakfast Spot,Brewery,Eastern European Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
17,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,12.89630025,77.58941132510462,0.0,Indian Restaurant,Coffee Shop,Italian Restaurant,Gym,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Andhra Restaurant,Brewery,Café
18,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,12.8742655,77.62601009999999,3.0,Furniture / Home Store,Wings Joint,Dumpling Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
19,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,12.940615199999998,77.7469937,0.0,Indian Restaurant,Market,Andhra Restaurant,Café,Bakery,Breakfast Spot,Falafel Restaurant,Food & Drink Shop,Food,Flea Market
20,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,12.908945300000001,77.6239038,0.0,Indian Restaurant,Bus Station,Lake,Wings Joint,Eastern European Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
21,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,12.97695915,77.5123160731423,0.0,Indian Restaurant,IT Services,Lighthouse,Bakery,Breakfast Spot,Café,Wings Joint,Electronics Store,Flea Market,Fish Market
22,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,12.9064601,77.663395,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
23,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,12.897428300000001,77.5573828,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
24,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,12.995105300000002,77.6979517,3.0,Fast Food Restaurant,Clothing Store,Café,Coffee Shop,French Restaurant,Donut Shop,Sporting Goods Shop,Multiplex,Italian Restaurant,Bowling Alley
25,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,12.978192199999999,77.72464509999999,3.0,Indian Restaurant,Restaurant,Italian Restaurant,Lounge,Café,Maharashtrian Restaurant,Liquor Store,Shopping Mall,Department Store,Fast Food Restaurant
26,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,12.186635699999998,77.0997954,2.0,ATM,Wings Joint,Donut Shop,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
27,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,12.3051828,76.6553609,3.0,Pharmacy,Shopping Mall,Indian Restaurant,Department Store,Palace,Hotel,Chinese Restaurant,Historic Site,Art Museum,Andhra Restaurant
28,Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,17.443638699999997,77.433391,0.0,Indian Restaurant,Bus Station,Lake,Wings Joint,Eastern European Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
29,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,33.150896100000004,-109.25284950000001,3.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Snack Place,Ice Cream Shop,Grocery Store,Bakery,Dessert Shop,Burger Joint
30,Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,12.88159525,77.60759947606418,0.0,South Indian Restaurant,Bakery,Lake,Dumpling Restaurant,Indian Restaurant,Deli / Bodega,Falafel Restaurant,Food,Flea Market,Fish Market
31,Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,13.053333199999999,77.53060359999999,2.0,ATM,Wings Joint,Donut Shop,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
32,Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,21.2435389,73.1079204,2.0,ATM,Wings Joint,Donut Shop,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
33,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,12.9985767,77.76097159999999,0.0,Indian Restaurant,Brewery,Bus Station,Playground,Platform,Italian Restaurant,Asian Restaurant,Middle Eastern Restaurant,Tourist Information Center,Train Station
34,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,12.8238977,77.39113359999999,3.0,Indian Restaurant,Gastropub,Supermarket,Salad Place,Brewery,Breakfast Spot,Pizza Place,Bed & Breakfast,Bar,Bakery
35,Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,12.911747199999999,77.59184920000001,3.0,Snack Place,Indian Restaurant,South Indian Restaurant,Department Store,Fast Food Restaurant,Diner,Juice Bar,Café,Eastern European Restaurant,Flea Market
36,Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,14.077156900000002,75.2124556,1.0,Platform,Wings Joint,Donut Shop,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
37,Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,12.141789300000001,76.6811633,3.0,Indian Restaurant,Restaurant,Italian Restaurant,Lounge,Café,Maharashtrian Restaurant,Liquor Store,Shopping Mall,Department Store,Fast Food Restaurant
38,Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,12.8773486,77.6028031,3.0,Badminton Court,ATM,Department Store,Lake,Restaurant,Wings Joint,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market
39,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,13.0119095,77.5438333,0.0,Indian Restaurant,Bus Station,Pharmacy,Food Truck,Clothing Store,Asian Restaurant,Pool,Flea Market,Dumpling Restaurant,Fast Food Restaurant
40,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,12.869978,77.65346009999999,3.0,Food Court,German Restaurant,Department Store,Tourist Information Center,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
41,Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,12.7782588,77.7712834,0.0,South Indian Restaurant,Indian Restaurant,Train Station,Restaurant,Wings Joint,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
42,Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,12.833509699999999,75.8599655,3.0,Restaurant,Sushi Restaurant,Café,Sandwich Place,Pub,Department Store,Italian Restaurant,Bar,Sports Bar,Pharmacy
43,Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,12.987658900000001,77.7377128,3.0,Café,Indian Restaurant,Cafeteria,BBQ Joint,Fast Food Restaurant,Bowling Alley,Mexican Restaurant,Sandwich Place,Pizza Place,Hotel
44,Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,12.945245,77.6269144,0.0,Indian Restaurant,Chinese Restaurant,Department Store,Sandwich Place,Nightclub,General Entertainment,Clothing Store,Grocery Store,Gun Shop,Pizza Place
45,Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,12.9562319,77.60588800000001,3.0,Hotel,Sporting Goods Shop,Café,Soccer Field,Dumpling Restaurant,Flea Market,Fish Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
46,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,12.97516,77.77034029999999,0.0,Indian Restaurant,Clothing Store,Breakfast Spot,Kitchen Supply Store,Lounge,Vegetarian / Vegan Restaurant,Burger Joint,Food Court,Chinese Restaurant,Sporting Goods Shop
47,Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,12.93204235,77.58842733164356,0.0,Indian Restaurant,Chinese Restaurant,Breakfast Spot,Pub,Café,Bowling Alley,Women's Store,Restaurant,Bus Station,Candy Store
