,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Electronic City Phase II,12.8468545,77.6769267,TCS Think Campus,12.847598224906433,77.6791380938702,Coworking Space
1,Electronic City Phase II,12.8468545,77.6769267,TCS Think Campus Ground,12.848343641377438,77.67926678752525,Basketball Court
2,Electronic City Phase II,12.8468545,77.6769267,Coffee Day Xpress,12.848826839267772,77.67894642513268,Café
3,Electronic City Phase II,12.8468545,77.6769267,"Mint-The Kitchen, Think Campus.",12.848941327230767,77.6789602817386,Vegetarian / Vegan Restaurant
4,Electronic City Phase II,12.8468545,77.6769267,Volga Food Court,12.850518578154235,77.67766680180114,Indian Restaurant
5,Electronic City Phase II,12.8468545,77.6769267,Foodies Express,12.847622629612248,77.68072608901532,Diner
6,Electronic City Phase II,12.8468545,77.6769267,Aastha,12.849795443905391,77.6793909072876,Indian Restaurant
7,Whitefield,25.7098784,32.6585124,Anubis Restaurant,25.712276088525638,32.66142284735924,Restaurant
8,Whitefield,25.7098784,32.6585124,Temple of Mut (معبد موط),25.71302758203266,32.65541388449351,Historic Site
9,Whitefield,12.9116225,77.63886219999998,House of Commons,12.911993951538978,77.63893839495603,Pub
10,Whitefield,12.9116225,77.63886219999998,Here & Now,12.913617873412562,77.63824265968887,Burger Joint
11,Whitefield,12.9116225,77.63886219999998,Cream Stone,12.912336259572271,77.63858101632954,Ice Cream Shop
12,Whitefield,12.9116225,77.63886219999998,Once Upon A Flame,12.91192776488194,77.63805414341695,Steakhouse
13,Whitefield,12.9116225,77.63886219999998,Shree Sweets,12.914205804805183,77.6409858894298,Snack Place
14,Whitefield,12.9116225,77.63886219999998,Calvins,12.912182357202179,77.6376609572448,Café
15,Whitefield,12.9116225,77.63886219999998,The Punjabi Rasoi,12.911959008177734,77.63842481946776,Punjabi Restaurant
16,Whitefield,12.9116225,77.63886219999998,Anjappar,12.914337555485753,77.63715891761294,Chettinad Restaurant
17,Whitefield,12.9116225,77.63886219999998,Baskin-Robbins,12.911906479727753,77.63827861415575,Ice Cream Shop
18,Whitefield,12.9116225,77.63886219999998,49ParanthaGali,12.912309452984541,77.63856948157061,North Indian Restaurant
19,Whitefield,12.9116225,77.63886219999998,Grapevine,12.909401610261101,77.63816757885431,Mediterranean Restaurant
20,Whitefield,12.9116225,77.63886219999998,Cafe Coffee Day,12.912312,77.641245,Café
21,Whitefield,12.9116225,77.63886219999998,Café Coffee Day,12.909285707816219,77.63967275619507,Coffee Shop
22,Whitefield,12.9116225,77.63886219999998,Drops Total Spirits,12.914411131760744,77.63827698264879,Liquor Store
23,Whitefield,12.9116225,77.63886219999998,Parika,12.912007744765054,77.63934474352479,Seafood Restaurant
24,Whitefield,12.9116225,77.63886219999998,Subway,12.911947644973107,77.63810077808505,Sandwich Place
25,Whitefield,12.9116225,77.63886219999998,Gold Bean,12.912273478307078,77.64085435241307,Café
26,Whitefield,12.9116225,77.63886219999998,MK Ahmed Super Market,12.912461639989539,77.63671324617263,Department Store
27,Whitefield,12.9116225,77.63886219999998,Adyar Ananda Bhavan,12.913715219870335,77.63747899676768,Indian Restaurant
28,Whitefield,12.9116225,77.63886219999998,The Moghul's,12.91228533379858,77.64207017111667,Indian Restaurant
29,Whitefield,12.9116225,77.63886219999998,Jarokha,12.912202292767502,77.6379863475401,Indian Restaurant
30,Whitefield,12.9116225,77.63886219999998,SAFA Fruits N Vegetables,12.913395287317098,77.63703918077869,Farmers Market
31,Whitefield,12.9116225,77.63886219999998,Bangalore Agarwal Bhavan,12.913228596735953,77.63526425747744,Snack Place
32,Whitefield,12.9116225,77.63886219999998,The Deck,12.911831694909655,77.63884933401974,Lounge
33,Whitefield,12.9116225,77.63886219999998,Pizza Hut,12.912318394247272,77.63784153282775,Pizza Place
34,Whitefield,12.9116225,77.63886219999998,Mast Kalander,12.914779604874248,77.63812499435045,Indian Restaurant
35,Whitefield,12.9116225,77.63886219999998,HSR Club,12.909721121545761,77.643044269923,General Entertainment
36,Whitefield,12.9116225,77.63886219999998,KFC,12.913271953232632,77.63821438065442,Fast Food Restaurant
37,Whitefield,12.9116225,77.63886219999998,Dindigul Thalappakatti Biriyani Restaurant,12.912064,77.637928,Indian Restaurant
38,Whitefield,12.9116225,77.63886219999998,Snap Fitness,12.911747293793638,77.63796599296153,Gym
39,Whitefield,12.9116225,77.63886219999998,Max HSR,12.912281,77.637535,Clothing Store
40,Whitefield,12.9116225,77.63886219999998,Third Wave Coffee Roasters Hsr Layout,12.909977649585404,77.63801739355078,Coffee Shop
41,Whitefield,12.9116225,77.63886219999998,Go Native,12.913414,77.638337,Vegetarian / Vegan Restaurant
42,Whitefield,12.9116225,77.63886219999998,Krispy Kreme,12.913560460777276,77.63825934724365,Donut Shop
43,Whitefield,12.9116225,77.63886219999998,The Rasaganga,12.912735424166428,77.63671041093541,Food Court
