,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
69,Super built-up  Area,Ready To Move,1.0,1.0,13.07463235,Electronic City,77.5048587415792,16.5,2 BHK,Itelaa ,880,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
51,Built-up  Area,Ready To Move,1.0,1.0,12.9876589,Chandapura,77.7377128,17.0,2 BHK,KHityry,650,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
137,Built-up  Area,Ready To Move,1.0,2.0,12.996845,Electronic City,77.6130165,19.5,2 BHK,Itelaa ,750,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
14,Super built-up  Area,Ready To Move,1.0,1.0,12.8496783,Electronic City,77.6649749,23.1,2 BHK,Itelaa ,660,3.0,Indian Restaurant,Fast Food Restaurant,Ice Cream Shop,Pizza Place,Coffee Shop,Café,Chinese Restaurant,Snack Place,Bakery,Sandwich Place
79,Built-up  Area,Ready To Move,1.0,2.0,12.88159525,Bommasandra,77.60759947606418,25.0,2 BHK,ALoraAu,950,5.0,Indian Restaurant,South Indian Restaurant,Ice Cream Shop,Vegetarian / Vegan Restaurant,Coffee Shop,Women's Store,Snack Place,Flea Market,Fast Food Restaurant,Dumpling Restaurant
142,Super built-up  Area,Ready To Move,2.0,2.0,12.9599662,Chandapura,77.7192064,28.0,3 BHK,Arhid O,1095,3.0,Café,Indian Restaurant,Fast Food Restaurant,Pizza Place,Bookstore,Shopping Mall,BBQ Joint,Restaurant,Juice Bar,Bus Station
24,Super built-up  Area,Ready To Move,0.0,2.0,12.97695915,Doddathoguru,77.5123160731423,33.0,2 BHK,LancyRe,970,3.0,Breakfast Spot,Indian Restaurant,Pizza Place,Multiplex,Sandwich Place,Restaurant,Café,Chinese Restaurant,Dessert Shop,Nightclub
17,Super built-up  Area,Ready To Move,1.0,2.0,19.2068473,Bisuvanahalli,72.8671534,35.0,3 BHK,Prityel,1075,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
76,Super built-up  Area,Ready To Move,1.0,2.0,12.97695915,Bannerghatta Road,77.5123160731423,35.0,2 BHK,DSnjh S,1022,5.0,Indian Restaurant,Restaurant,Breakfast Spot,Lighthouse,Multicuisine Indian Restaurant,Bakery,Café,Wine Bar,Fast Food Restaurant,Farmers Market
5,Super built-up  Area,Ready To Move,1.0,2.0,51.4619523,7th Phase JP Nagar,-0.15961689999999998,38.0,2 BHK,Shncyes,1000,3.0,Pub,Pizza Place,Café,Cocktail Bar,Indian Restaurant,French Restaurant,Bus Stop,Bar,Coffee Shop,Thai Restaurant
23,Super built-up  Area,Ready To Move,0.0,1.0,12.9089453,Ganga Nagar,77.6239038,38.0,1 BHK,Ceove G,600,2.0,Indian Restaurant,Shopping Mall,Wine Bar,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
3,Super built-up  Area,Ready To Move,1.0,2.0,25.7098784,Whitefield,32.6585124,38.0,2 BHK,DuenaTa,1170,3.0,Indian Restaurant,Café,Restaurant,Department Store,Fast Food Restaurant,Bakery,Pub,Coffee Shop,Sandwich Place,Ice Cream Shop
