,area_type,availability,balcony,bath,latitude,location,longitude,price,size,society,total_sqft,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
17,Super built-up  Area,Ready To Move,1.0,2.0,19.2068473,Bisuvanahalli,72.8671534,35.0,3 BHK,Prityel,1075,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
5,Super built-up  Area,Ready To Move,1.0,2.0,51.4619523,7th Phase JP Nagar,-0.15961689999999998,38.0,2 BHK,Shncyes,1000,3.0,Pub,Pizza Place,Café,Cocktail Bar,Indian Restaurant,French Restaurant,Bus Stop,Bar,Coffee Shop,Thai Restaurant
77,Super built-up  Area,Ready To Move,1.0,2.0,12.920441,Abbigere,77.6653284,40.8,2 BHK,SLtias ,1020,0.0,Liquor Store,Department Store,Asian Restaurant,Bar,Café,Bowling Alley,Italian Restaurant,Hotel,Diner,Falafel Restaurant
136,Super built-up  Area,Ready To Move,2.0,2.0,12.9274413,Raja Rajeshwari Nagar,77.51552240000001,42.54,2 BHK,GrrvaGr,1255,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
31,Super built-up  Area,Ready To Move,2.0,2.0,12.186635699999998,Begur Road,77.0997954,44.0,2 BHK,Dhalsh ,1200,7.0,ATM,Wine Bar,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
125,Super built-up  Area,Ready To Move,2.0,2.0,12.922544,Nobo Nagar,77.66334309999999,45.0,2 BHK,VRaceer,1200,0.0,Bowling Alley,Hotel,Liquor Store,Bar,Asian Restaurant,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
8,Super built-up  Area,Ready To Move,2.0,3.0,13.054713,Bisuvanahalli,77.63392579999999,48.0,3 BHK,Prityel,1180,3.0,Pharmacy,Hotel,Pizza Place,Indian Restaurant,Food Truck,Seafood Restaurant,Karnataka Restaurant,Fast Food Restaurant,Gas Station,Restaurant
105,Super built-up  Area,Ready To Move,2.0,2.0,12.955703,Jigani,77.53133290000001,49.5,2 BHK,DLhtsen,943,0.0,Coffee Shop,Ice Cream Shop,Seafood Restaurant,Asian Restaurant,Gym,Dry Cleaner,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant
98,Super built-up  Area,Ready To Move,1.0,2.0,14.077156900000002,Choodasandra,75.2124556,50.0,2 BHK,GRhtiru,1115,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
54,Super built-up  Area,Ready To Move,2.0,2.0,12.9562319,Shantiniketan Layout,77.60588800000002,50.0,2 BHK,Maest N,1200,0.0,Sporting Goods Shop,Hotel,Candy Store,Cosmetics Shop,Department Store,Eastern European Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant
19,Super built-up  Area,Ready To Move,3.0,3.0,12.8529125,Raja Rajeshwari Nagar,77.6556155,57.39,3 BHK,GrrvaGr,1693,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
9,Super built-up  Area,Ready To Move,3.0,3.0,12.93643855,Raja Rajeshwari Nagar,77.66698398914123,60.0,3 BHK,GrrvaGr,1540,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
86,Super built-up  Area,Ready To Move,3.0,2.0,13.054713000000001,Kumaraswami Layout,77.63392579999999,60.0,2 BHK,Shncyhi,1081,0.0,Hotel,Pharmacy,Karnataka Restaurant,Gas Station,Wine Bar,Dry Cleaner,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
144,Super built-up  Area,Ready To Move,3.0,3.0,12.8889126,Raja Rajeshwari Nagar,77.65557159999999,64.86,3 BHK,GrrvaGr,1530,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
129,Built-up  Area,Ready To Move,0.0,2.0,12.9107463,Somasundara Palya,77.5728163,70.0,3 BHK,Srhts P,2300,0.0,Electronics Store,Hotel,Breakfast Spot,Mobile Phone Shop,Liquor Store,Buffet,Metro Station,Wine Bar,Flea Market,Fast Food Restaurant
47,Built-up  Area,Ready To Move,2.0,2.0,12.869978,Sanjay nagar,77.65346009999998,70.0,2 BHK,Saenti ,1000,3.0,Business Service,Department Store,Tourist Information Center,Food Court,German Restaurant,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant,Farmers Market
89,Super built-up  Area,Ready To Move,1.0,3.0,12.9064601,Horamavu Agara,77.663395,70.0,3 BHK,SKdesa ,1557,0.0,Dog Run,Trail,Food Truck,Grocery Store,Gym / Fitness Center,Spa,Dessert Shop,Dim Sum Restaurant,Flea Market,Coworking Space
7,Super built-up  Area,Ready To Move,2.0,2.0,12.9176571,Mysore Road,77.4837568,73.5,2 BHK,PrntaEn,1175,3.0,Ice Cream Shop,Pizza Place,Dry Cleaner,Train Station,Café,ATM,Dumpling Restaurant,Food,Flea Market,Fast Food Restaurant
68,Plot  Area,Ready To Move,1.0,3.0,12.8889126,Sarjapur,77.65557159999999,75.0,3 Bedroom,Inensba,1600,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
66,Super built-up  Area,Ready To Move,1.0,2.0,13.0367725,Hormavu,77.65494790000002,78.0,2 BHK,SyidaCr,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
83,Super built-up  Area,Ready To Move,3.0,2.0,13.036772500000001,JP Nagar,77.65494790000001,82.0,3 BHK,Adaveth,1500,0.0,Coffee Shop,Garden Center,Sports Club,Pharmacy,ATM,Historic Site,Donut Shop,Fast Food Restaurant,Farmers Market,Falafel Restaurant
127,Super built-up  Area,Ready To Move,2.0,3.0,11.2484748,Crimson Layout,77.4935891,95.0,3 BHK,ARntyne,1830,9.0,Clothing Store,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
152,Built-up  Area,Ready To Move,1.0,3.0,12.8773486,Raja Rajeshwari Nagar,77.6028031,98.0,3 BHK,Cedusy ,1850,3.0,Pizza Place,Lake,Breakfast Spot,Badminton Court,Indian Restaurant,Restaurant,Food Court,Food,Sandwich Place,Fast Food Restaurant
38,Super built-up  Area,Ready To Move,1.0,3.0,12.9985767,Hegde Nagar,77.76097159999998,101.0,3 BHK,Sonosty,1569,3.0,Bakery,Park,Indian Restaurant,Train Station,Platform,Playground,Bus Station,Wine Bar,Dry Cleaner,Farmers Market
42,Super built-up  Area,Ready To Move,2.0,2.0,14.077156900000002,Kodanda Reddy Layout,75.2124556,105.0,3 BHK,AdentEl,1660,1.0,Platform,Wine Bar,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store,Eastern European Restaurant
104,Super built-up  Area,Ready To Move,2.0,3.0,13.0280381,Jalahalli,77.72367690000002,115.0,3 BHK,Prarkll,1881,8.0,University,Café,Restaurant,Wine Bar,Donut Shop,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
60,Built-up  Area,Ready To Move,2.0,3.0,12.9592694,Sarjapur  Road,77.5093895,140.0,3 Bedroom,Cetattu,2497,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
6,Plot  Area,Ready To Move,2.0,3.0,12.9778951,Sarjapur,77.5164792,148.0,3 Bedroom,Skityer,2250,3.0,IT Services,Breakfast Spot,Fast Food Restaurant,Seafood Restaurant,Badminton Court,Eastern European Restaurant,Food,Flea Market,Farmers Market,Falafel Restaurant
90,Super built-up  Area,Ready To Move,1.0,4.0,13.0027852,Sarjapur  Road,77.624747,148.0,3 BHK,Puallhi,1984,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
32,Super built-up  Area,Ready To Move,2.0,2.0,12.3051828,Ramakrishnappa Layout,76.6553609,185.0,2 BHK,PeBayle,1500,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
41,Built-up  Area,Ready To Move,3.0,3.0,12.9117472,Cholanayakanahalli,77.59184920000001,205.0,3 BHK,Viony H,2511,3.0,Bakery,Snack Place,Indian Restaurant,Department Store,Fast Food Restaurant,Diner,Juice Bar,Café,South Indian Restaurant,Wine Bar
55,Built-up  Area,Ready To Move,2.0,3.0,12.97516,Rajaji Nagar,77.77034029999999,229.0,3 BHK,Brway G,1640,3.0,Kitchen Supply Store,Bakery,Dumpling Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
78,Super built-up  Area,Ready To Move,2.0,4.0,12.816244300000001,Sarjapur  Road,77.6916113,242.0,4 BHK,Klark L,4395,3.0,Café,ATM,Indian Restaurant,Hotel,Pharmacy,Shopping Mall,Snack Place,South Indian Restaurant,Food Court,Sporting Goods Shop
154,Super built-up  Area,Ready To Move,1.0,5.0,12.91814255,Iblur Village,77.55767123770735,251.0,4 BHK,Emine P,3596,3.0,Coffee Shop,Snack Place,Department Store,Breakfast Spot,Convenience Store,Indian Restaurant,Accessories Store,Historic Site,Dumpling Restaurant,Hotel
10,Super built-up  Area,Ready To Move,2.0,4.0,13.054713,Ramakrishnappa Layout,77.63392579999999,290.0,3 BHK,PeBayle,2770,3.0,Pharmacy,Shopping Mall,Historic Site,Indian Restaurant,Karnataka Restaurant,Gas Station,Palace,Chinese Restaurant,Hotel,Andhra Restaurant
113,Super built-up  Area,Ready To Move,1.0,6.0,12.9243509,Sathya Sai Layout,77.6255562,660.0,4 BHK,Prowshi,6652,0.0,Convenience Store,Park,Tibetan Restaurant,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
126,Plot  Area,Ready To Move,1.0,6.0,13.252003,Sathya Sai Layout,77.963371,700.0,4 Bedroom,Prowshi,6688,0.0,Convenience Store,Park,Tibetan Restaurant,Dry Cleaner,Food,Flea Market,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Electronics Store
