,area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,12.8468545,77.6769267
1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,12.8957681,77.8671014
2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,12.9055682,77.5455438
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,12.5805368,77.3330675
4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,44.373441,-71.61026
5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,25.7098784,32.6585124
6,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0,13.1115156,80.2116057
7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0,12.9552572,77.6984163
8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,30.4656779,-97.8027482
9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0,12.9118807,77.5782662
10,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,12.8565317,77.5877237
11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,12.9116225,77.6388622
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,51.4619523,-0.1596169
13,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,17.3347866,78.6008776
14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,12.9778951,77.5164792
15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,12.9176571,77.4837568
16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,13.054713,77.6339258
